Umiej.,1.2,2.5,1.2,4.2,3.1,2.4/sp,2.4,3.2,Sp/2.10,Sp/2.10,3.1,Sp/2.11,3.5,Treść,segm,styl,język,ortog,inter
Obszar,I,II,I,II,II,II,III,II,II,II,II,II,I,III,III,III,III,III,III
D7,1,1,0,1,1,0,1,1,1,1,1,1,0,2,1,1,0,1,0
D8,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
D9,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0
D11,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
D13,1,0,1,0,1,0,1,1,0,1,1,1,1,2,1,1,0,1,0
D14,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
D15,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,1,0
D16,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0
D17,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,2,1,0
D18,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,2,0,1
D20,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
D21,1,1,1,0,1,0,0,1,1,1,0,1,1,2,1,1,0,0,1
D22,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0
E1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
E2,1,1,1,1,1,0,1,1,1,1,1,1,1,3,1,1,2,1,1
E3,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
E4,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
E5,1,1,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0
E7,1,1,0,1,1,1,0,1,1,1,1,1,1,2,0,1,0,0,0
E8,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
E9,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
E10,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
E11,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
E12,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
E13,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
E14,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1
E16,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
E17,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,0,0
E18,0,1,0,1,0,0,1,0,0,0,1,0,0,2,1,0,1,1,1
E19,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
E20,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
