A1,d,m,
A2,ch,m,
A3,ch,m,d
A4,d,m,
A5,d,m,
A6,d,m,
A7,d,m,
A8,ch,w,
A9,ch,m,d
A10,d,m,
A12,ch,m,
A13,ch,m,d
A14,ch,m,
A15,ch,m,
A16,d,m,
A17,ch,m,
A18,d,m,
A19,d,m,
A20,d,m,d
A21,d,m,
A22,d,m,
A23,ch,m,
A24,d,m,d
A25,d,m,
A26,ch,m,
A27,ch,m,
A28,ch,m,d
B1,ch,w,
B2,d,w,
B4,ch,m,
B5,ch,m,
B6,d,w,d
B7,d,m,d
B8,ch,m,d
B9,d,m,
B10,d,w,
B11,d,m,
B12,d,m,
B13,d,m,
B14,ch,m,
B15,ch,m,
B17,d,w,d
B18,ch,m,d
B19,ch,w,
B20,ch,w,d
B21,ch,m,
C1,d,w,
C2,d,w,d
C3,ch,w,d
C4,ch,m,d
C5,d,w,
C6,ch,w,d
C7,d,w,
C8,d,w,
C9,ch,w,
C10,d,w,
C11,ch,m,d
C12,d,w,d
C13,ch,m,
C14,ch,w,d
C15,d,m,
C16,ch,w,
C17,ch,w,
C19,ch,m,d
C20,ch,w,
C21,ch,m,d
D1,d,m,
D2,ch,m,
D3,d,m,
D4,ch,w,
D5,ch,w,
D6,ch,w,
D7,d,w,
D8,ch,m,
D9,d,m,d
D11,d,m,
D13,d,w,
D14,ch,m,d
D15,ch,m,d
D16,ch,m,d
D17,d,m,
D18,d,w,
D20,ch,w,
D21,d,w,
D22,d,m,
E1,d,m,
E2,ch,m,
E3,ch,w,d
E4,d,w,
E5,ch,m,
E7,d,w,
E8,ch,w,d
E9,ch,w,
E10,ch,w,
E11,ch,m,
E12,ch,m,
E13,ch,m,
E14,d,m,
E16,d,m,d
E17,d,m,d
E18,d,m,
E19,d,w,
E20,ch,w,d
E21,ch,m,
E22,ch,w,d
F1,d,m,d
F2,ch,m,
F3,d,m,
F4,ch,m,
F5,d,m,
F6,d,m,
F7,ch,m,d
F8,ch,m,
F9,d,m,
F10,ch,m,
F11,d,m,
F12,ch,m,d
F13,d,w,
F14,d,w,
F15,ch,m,
F16,d,m,d
F18,ch,m,d
F19,ch,m,d
F20,d,m,
F21,d,w,
F22,d,w,
F23,d,w,
F24,d,w,
F25,d,m,d
F26,ch,m,
F27,d,m,
F28,ch,m,d
F29,ch,m,
