maxpkt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1
nr_zad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22.1,22.2,22.3,22.4,22.5,22.6
A1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,0
A2,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,2,1,1,0,0,0
A3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,0,1,0
A4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0
A5,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0
A6,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,2,3,1,1,0,1,0
A7,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,2,1,1,2,0,1
A8,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,0,0
A9,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0
A10,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,3,1,1,0,0,1
A11,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,2,2,1,1,0,0,0
A12,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,2,3,1,1,2,0,1
A13,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,2,1,1,2,0,1
A14,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,2,0,1,0,1,0
A15,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,0
A16,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
A17,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
A18,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,0,1,0
A19,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1
A20,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
A21,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,0
A22,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0
A23,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,2,0,1,1,0,1,1
A24,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0
A25,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,2,4,1,1,0,1,0
A26,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
A27,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,2,1,1,2,1,1
B1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,2,1,1,0,0,1,1
B2,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,2,2,1,1,0,1,1
